id,credit_card_type,credit_card_number,currency_code,currency
1,mastercard,5048373818202081,EUR,Euro
2,mastercard,5048374489792384,GBP,Pound
3,mastercard,5048377139633411,CNY,Yuan Renminbi
4,mastercard,5048370188488290,RUB,Ruble
5,mastercard,5108752289914273,IDR,Rupiah
6,mastercard,5108759261015227,IDR,Rupiah
7,mastercard,5108757741696327,USD,Dollar
8,mastercard,5048372744910098,CNY,Yuan Renminbi
9,mastercard,5108759708856134,EUR,Euro
10,mastercard,5048372122955913,CNY,Yuan Renminbi
11,mastercard,5108758969151896,CNY,Yuan Renminbi
12,mastercard,5048373026903454,SEK,Krona
13,mastercard,5108757064486371,EUR,Euro
14,mastercard,5108757488213765,IDR,Rupiah
15,mastercard,5048377166183306,IDR,Rupiah
16,mastercard,5048373854404989,CNY,Yuan Renminbi
17,mastercard,5108754833471487,EUR,Euro
18,mastercard,5048374362647820,IDR,Rupiah
19,mastercard,5108752700005099,EUR,Euro
20,mastercard,5108759936328757,EUR,Euro
21,mastercard,5108759446121213,CNY,Yuan Renminbi
22,mastercard,5048370099914293,EUR,Euro
23,mastercard,5048378876281141,CZK,Koruna
24,mastercard,5048372057252609,MYR,Ringgit
25,mastercard,5048372806798936,PHP,Peso
26,mastercard,5108757248403417,JPY,Yen
27,mastercard,5048371419759301,SEK,Krona
28,mastercard,5108754330994734,EUR,Euro
29,mastercard,5108757739981665,IDR,Rupiah
30,mastercard,5048370059227025,CZK,Koruna
31,mastercard,5048379233824748,CNY,Yuan Renminbi
32,mastercard,5048370458054541,EUR,Euro
33,mastercard,5108752307258679,CNY,Yuan Renminbi
34,mastercard,5048370553492794,PLN,Zloty
35,mastercard,5048372978553556,BDT,Taka
36,mastercard,5048374358466383,CNY,Yuan Renminbi
37,mastercard,5048379389423550,IDR,Rupiah
38,mastercard,5048376771997050,CNY,Yuan Renminbi
39,mastercard,5108756379743120,RUB,Ruble
40,mastercard,5108759347118946,HNL,Lempira
